Resultats entre rondes  1  i  6 

Score = Mitja Pts * log(Rondes + 1) * %Victoria
És la millor manera que he trobat de comparar:
punts, nº de rondes i WinRate%


Pos   Nick del codi   Score      Mitja Pts  %Victoria  Games  || %T1     T1  | %T2     T2  | %T3     T3  | %T4     T4  | %T5     T5 
79    Meriv10         4135.38    2125.17    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
80    Gotham          4127.87    2474.86    85.71%     7      || 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
81    Quisito1        4091.18    2452.86    85.71%     7      || 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
82    HUGOFR2         3992.28    2735.50    75.00%     8      || 66.67%  6   | 100.00% 2   | 0.00%   0   | 0.00%   0   | 0.00%   0  
83    ToxicaX6        3986.81    2731.75    75.00%     8      || 66.67%  6   | 100.00% 2   | 0.00%   0   | 0.00%   0   | 0.00%   0  
84    Carelantis      3960.90    2714.00    75.00%     8      || 66.67%  6   | 100.00% 2   | 0.00%   0   | 0.00%   0   | 0.00%   0  
85    Fxm3V3          3931.77    2357.29    85.71%     7      || 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
86    Heax3           3931.29    2357.00    85.71%     7      || 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
87    SultanIII       3912.23    2345.57    85.71%     7      || 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
88    Planet          3878.08    2657.25    75.00%     8      || 83.33%  6   | 0.00%   1   | 100.00% 1   | 0.00%   0   | 0.00%   0  
89    rugi            3812.59    2612.38    75.00%     8      || 83.33%  6   | 0.00%   1   | 100.00% 1   | 0.00%   0   | 0.00%   0  
90    WAKAPAKA        3745.82    2566.62    75.00%     8      || 66.67%  6   | 100.00% 2   | 0.00%   0   | 0.00%   0   | 0.00%   0  
91    marcbby80       3736.44    2880.22    66.67%     9      || 50.00%  6   | 100.00% 3   | 0.00%   0   | 0.00%   0   | 0.00%   0  
92    Chikelli2       3706.59    2539.75    75.00%     8      || 83.33%  6   | 0.00%   1   | 100.00% 1   | 0.00%   0   | 0.00%   0  
93    Cere223         3689.73    2844.22    66.67%     9      || 50.00%  6   | 100.00% 3   | 0.00%   0   | 0.00%   0   | 0.00%   0  
94    Equalizer_v1    3634.53    2490.38    75.00%     8      || 66.67%  6   | 100.00% 2   | 0.00%   0   | 0.00%   0   | 0.00%   0  
95    Dunkleosteus    3618.48    2479.38    75.00%     8      || 66.67%  6   | 100.00% 2   | 0.00%   0   | 0.00%   0   | 0.00%   0  
96    Batman          3611.00    2474.25    75.00%     8      || 66.67%  6   | 100.00% 2   | 0.00%   0   | 0.00%   0   | 0.00%   0  
97    Jofre           3601.33    2467.62    75.00%     8      || 66.67%  6   | 100.00% 2   | 0.00%   0   | 0.00%   0   | 0.00%   0  
98    Pepito2         3576.34    2450.50    75.00%     8      || 83.33%  6   | 0.00%   1   | 100.00% 1   | 0.00%   0   | 0.00%   0  
99    Mimikyu         3575.29    2756.00    66.67%     9      || 66.67%  6   | 50.00%  2   | 100.00% 1   | 0.00%   0   | 0.00%   0  
100   Lackis          3555.77    2131.86    85.71%     7      || 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
101   chiwilix        3540.13    2553.67    100.00%    3      || 100.00% 3   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
102   Second          3534.81    2119.29    85.71%     7      || 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
103   Monibol_v3      3521.94    2111.57    85.71%     7      || 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
104   TaxEvasor       3483.81    2088.71    85.71%     7      || 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
